"ID","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Subscription.Start.Date","Subscription.Expiration","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","ExchangeRateToUSD","AmountInUSD","US_Canada","Other","Europe","Web.Purchase","App.Purchase","valueCust","OpenSendRatio","IsConsumer","IsOther","IsPOR","IsEBR","IsESP","IsKOR","IsENG","IsDEU","IsFRA","IsGLE","IsALL","IsSVE","IsITA","IsJPN","IsRUS","IsESC","IsFAR","IsGRK","IsARA","IsPOL","IsCHI","IsTUR","IsNED","IsVIE","IsHEB","IsTGL","IsHIN","IsDAR","IsLAT","IsKIS","IsURD","IsIND","IsPAS"
40,"ITA",0,0,"Web",35.97,"USD","10/1/2019","7/1/2020",0,0,1,"Other","Other","Unknown",0,0,3,1,0,1,0,1,35.97,0,1,0,1,0,1,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"ESP",0,0,"Web",38.89,"USD","1/27/2020","4/30/2020",0,1,0,"US/Canada","Consumer","Web",1,1,19,11,4,7,2,1,38.89,1,0,0,1,0,0,0.578947368421053,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"RUS",0,0,"Web",39,"USD","8/22/2019","11/25/2019",0,1,0,"Europe","Consumer","Web",0,1,79,56,1,38,1,1,39,0,0,1,1,0,0,0.708860759493671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"FRA",0,0,"Web",0,"USD","12/12/2018","6/12/2019",0,0,0,"US/Canada","Consumer","Web",1,1,17,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"DEU",0,0,"Web",40.83,"GBP","12/19/2019","6/19/2020",0,0,1,"Europe","Consumer","Web",0,1,6,6,0,2,0,1.31,53.4873,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"ALL",1,0,"Web",199,"USD","3/7/2020","1/1/2099",1,0,0,"US/Canada","Consumer","App",1,1,6,1,0,1,0,1,199,1,0,0,1,0,1,0.166666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"ENG",0,0,"Web",65.94,"USD","8/24/2019","2/24/2020",0,0,1,"US/Canada","Consumer","Web",1,1,38,3,0,3,0,1,65.94,1,0,0,1,0,1,0.0789473684210526,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"ESC",0,0,"Web",49,"GBP","9/11/2019","6/11/2020",0,0,1,"US/Canada","Consumer","Web",1,1,4,1,0,1,0,1.31,64.19,1,0,0,1,0,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"FRA",0,0,"Web",39.2,"EUR","2/26/2020","5/26/2020",1,0,0,"Europe","Consumer","App",0,1,4,0,0,0,0,1.12,43.904,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"ESP",0,0,"Web",34.64,"USD","12/3/2019","3/3/2020",0,0,0,"Other","Other","Unknown",0,0,10,0,0,0,0,1,34.64,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
